"Mach","Pressure","Points:0","Points:1","Points:2"
3.3114,27080,1.7,0,0
3.32,26741,1.71,0,0
3.3286,26402,1.72,0,0
3.3371,26080,1.73,0,0
3.3455,25758,1.74,0,0
3.3537,25452,1.75,0,0
3.3619,25147,1.76,0,0
3.3699,24858,1.77,0,0
3.3779,24569,1.78,0,0
3.3856,24296,1.79,0,0
3.3933,24023,1.8,0,0
3.4007,23768,1.81,0,0
3.4081,23512,1.82,0,0
3.4152,23273,1.83,0,0
3.4223,23034,1.84,0,0
3.429,22812,1.85,0,0
3.4357,22591,1.86,0,0
3.442,22388,1.87,0,0
3.4483,22185,1.88,0,0
3.454,22002,1.89,0,0
3.4598,21819,1.9,0,0
3.465,21659,1.91,0,0
3.4701,21498,1.92,0,0
3.4567,21646,1.93,0,0
3.4433,21793,1.94,0,0
2.1332,92490,1.95,0,0
0.82302,1.6319e+05,1.96,0,0
0.57865,2.2206e+05,1.97,0,0
0.33427,2.8093e+05,1.98,0,0
0.28653,2.9296e+05,1.99,0,0
0.23878,3.0499e+05,2,0,0
0.19961,3.0957e+05,2.01,0,0
0.16044,3.1415e+05,2.02,0,0
0.12019,3.1703e+05,2.03,0,0
0.079926,3.1991e+05,2.04,0,0
0.044472,3.2148e+05,2.05,0,0
0.0090174,3.2306e+05,2.06,0,0
0.039216,3.2368e+05,2.07,0,0
0.069414,3.2431e+05,2.08,0,0
0.10043,3.2439e+05,2.09,0,0
0.13144,3.2448e+05,2.1,0,0
0.15696,3.2442e+05,2.11,0,0
0.18249,3.2437e+05,2.12,0,0
0.20177,3.245e+05,2.13,0,0
0.22105,3.2464e+05,2.14,0,0
0.2342,3.2518e+05,2.15,0,0
0.24735,3.2573e+05,2.16,0,0
0.2549,3.2678e+05,2.17,0,0
0.26245,3.2783e+05,2.18,0,0
0.26515,3.294e+05,2.19,0,0
0.26786,3.3096e+05,2.2,0,0
0.26657,3.3299e+05,2.21,0,0
0.26527,3.3501e+05,2.22,0,0
0.26075,3.374e+05,2.23,0,0
0.25624,3.3979e+05,2.24,0,0
0.24917,3.4246e+05,2.25,0,0
