"Pressure","Points:0","Points:1","Points:2"
2.9571e+05,0,0,0
2.9571e+05,0.006,0,0
2.9571e+05,0.012,0,0
2.9571e+05,0.018,0,0
2.9571e+05,0.024,0,0
2.9571e+05,0.03,0,0
2.9571e+05,0.036,0,0
2.9571e+05,0.042,0,0
2.9571e+05,0.048,0,0
2.9571e+05,0.054,0,0
2.9571e+05,0.06,0,0
2.9571e+05,0.066,0,0
2.9571e+05,0.072,0,0
2.9571e+05,0.078,0,0
2.9571e+05,0.084,0,0
2.9571e+05,0.09,0,0
2.9571e+05,0.096,0,0
2.9571e+05,0.102,0,0
2.9571e+05,0.108,0,0
2.9571e+05,0.114,0,0
2.9571e+05,0.12,0,0
2.9571e+05,0.126,0,0
2.9571e+05,0.132,0,0
2.9571e+05,0.138,0,0
2.9571e+05,0.144,0,0
2.9571e+05,0.15,0,0
2.9571e+05,0.156,0,0
2.9571e+05,0.162,0,0
2.9571e+05,0.168,0,0
2.9571e+05,0.174,0,0
2.9571e+05,0.18,0,0
2.9571e+05,0.186,0,0
2.9571e+05,0.192,0,0
2.9571e+05,0.198,0,0
2.9571e+05,0.204,0,0
2.9571e+05,0.21,0,0
2.9571e+05,0.216,0,0
2.9571e+05,0.222,0,0
2.957e+05,0.228,0,0
2.957e+05,0.234,0,0
2.957e+05,0.24,0,0
2.9571e+05,0.246,0,0
2.9572e+05,0.252,0,0
2.9573e+05,0.258,0,0
2.9581e+05,0.264,0,0
2.9593e+05,0.27,0,0
2.9605e+05,0.276,0,0
2.9618e+05,0.282,0,0
2.9634e+05,0.288,0,0
2.965e+05,0.294,0,0
2.9665e+05,0.3,0,0
2.967e+05,0.306,0,0
2.9675e+05,0.312,0,0
2.968e+05,0.318,0,0
2.9676e+05,0.324,0,0
2.9668e+05,0.33,0,0
2.966e+05,0.336,0,0
2.9569e+05,0.342,0,0
2.9311e+05,0.348,0,0
2.9053e+05,0.354,0,0
2.8795e+05,0.36,0,0
2.8315e+05,0.366,0,0
2.7834e+05,0.372,0,0
2.7354e+05,0.378,0,0
2.6901e+05,0.384,0,0
2.6461e+05,0.39,0,0
2.6022e+05,0.396,0,0
2.5546e+05,0.402,0,0
2.4996e+05,0.408,0,0
2.4447e+05,0.414,0,0
2.3897e+05,0.42,0,0
2.337e+05,0.426,0,0
2.2843e+05,0.432,0,0
2.2315e+05,0.438,0,0
