"Pressure","Points:0","Points:1","Points:2"
2.9571e+05,0,0,0
2.9571e+05,0.006,0,0
2.9571e+05,0.012,0,0
2.9571e+05,0.018,0,0
2.9571e+05,0.024,0,0
2.957e+05,0.03,0,0
2.9571e+05,0.036,0,0
2.9571e+05,0.042,0,0
2.9571e+05,0.048,0,0
2.9571e+05,0.054,0,0
2.9571e+05,0.06,0,0
2.9571e+05,0.066,0,0
2.9572e+05,0.072,0,0
2.9572e+05,0.078,0,0
2.9573e+05,0.084,0,0
2.9574e+05,0.09,0,0
2.9574e+05,0.096,0,0
2.9575e+05,0.102,0,0
2.9576e+05,0.108,0,0
2.9577e+05,0.114,0,0
2.9577e+05,0.12,0,0
2.9573e+05,0.126,0,0
2.9568e+05,0.132,0,0
2.9564e+05,0.138,0,0
2.956e+05,0.144,0,0
2.9555e+05,0.15,0,0
2.9548e+05,0.156,0,0
2.954e+05,0.162,0,0
2.9533e+05,0.168,0,0
2.9526e+05,0.174,0,0
2.9519e+05,0.18,0,0
2.9525e+05,0.186,0,0
2.9532e+05,0.192,0,0
2.9538e+05,0.198,0,0
2.9544e+05,0.204,0,0
2.9558e+05,0.21,0,0
2.9669e+05,0.216,0,0
2.9781e+05,0.222,0,0
2.9892e+05,0.228,0,0
3.0004e+05,0.234,0,0
3.0117e+05,0.24,0,0
3.0256e+05,0.246,0,0
3.0395e+05,0.252,0,0
3.0534e+05,0.258,0,0
3.0673e+05,0.264,0,0
3.0803e+05,0.27,0,0
3.0851e+05,0.276,0,0
3.0899e+05,0.282,0,0
3.0947e+05,0.288,0,0
3.0995e+05,0.294,0,0
3.1025e+05,0.3,0,0
3.089e+05,0.306,0,0
3.0756e+05,0.312,0,0
3.0621e+05,0.318,0,0
3.0486e+05,0.324,0,0
3.032e+05,0.33,0,0
2.9894e+05,0.336,0,0
2.9468e+05,0.342,0,0
2.9042e+05,0.348,0,0
2.8616e+05,0.354,0,0
2.8178e+05,0.36,0,0
2.7645e+05,0.366,0,0
2.7113e+05,0.372,0,0
2.658e+05,0.378,0,0
2.6047e+05,0.384,0,0
2.5511e+05,0.39,0,0
2.4946e+05,0.396,0,0
2.4381e+05,0.402,0,0
2.3816e+05,0.408,0,0
2.3251e+05,0.414,0,0
2.2693e+05,0.42,0,0
2.2182e+05,0.426,0,0
2.1671e+05,0.432,0,0
2.116e+05,0.438,0,0
