"Pressure","Points:0","Points:1","Points:2"
2.0649e+05,2.39,0,0
2.0746e+05,2.4,0,0
2.083e+05,2.41,0,0
2.0913e+05,2.42,0,0
2.0982e+05,2.43,0,0
2.1051e+05,2.44,0,0
2.1106e+05,2.45,0,0
2.1161e+05,2.46,0,0
2.1203e+05,2.47,0,0
2.1245e+05,2.48,0,0
2.1275e+05,2.49,0,0
2.1304e+05,2.5,0,0
2.1322e+05,2.51,0,0
2.134e+05,2.52,0,0
2.1346e+05,2.53,0,0
2.1352e+05,2.54,0,0
2.1347e+05,2.55,0,0
2.1342e+05,2.56,0,0
2.1326e+05,2.57,0,0
2.131e+05,2.58,0,0
2.1284e+05,2.59,0,0
2.1259e+05,2.6,0,0
2.1225e+05,2.61,0,0
2.1191e+05,2.62,0,0
2.1149e+05,2.63,0,0
2.1107e+05,2.64,0,0
2.1059e+05,2.65,0,0
2.101e+05,2.66,0,0
2.0956e+05,2.67,0,0
2.0902e+05,2.68,0,0
2.0843e+05,2.69,0,0
2.0783e+05,2.7,0,0
2.0719e+05,2.71,0,0
2.0654e+05,2.72,0,0
2.0585e+05,2.73,0,0
2.0516e+05,2.74,0,0
2.0442e+05,2.75,0,0
2.0368e+05,2.76,0,0
2.0289e+05,2.77,0,0
2.021e+05,2.78,0,0
2.0124e+05,2.79,0,0
2.0038e+05,2.8,0,0
1.9944e+05,2.81,0,0
1.9851e+05,2.82,0,0
1.9748e+05,2.83,0,0
1.9645e+05,2.84,0,0
1.9532e+05,2.85,0,0
1.9419e+05,2.86,0,0
1.9294e+05,2.87,0,0
1.9169e+05,2.88,0,0
1.9031e+05,2.89,0,0
1.8893e+05,2.9,0,0
1.8742e+05,2.91,0,0
1.859e+05,2.92,0,0
1.8425e+05,2.93,0,0
1.826e+05,2.94,0,0
1.8081e+05,2.95,0,0
1.7902e+05,2.96,0,0
1.7709e+05,2.97,0,0
1.7516e+05,2.98,0,0
1.7313e+05,2.99,0,0
1.7109e+05,3,0,0
1.69e+05,3.01,0,0
1.669e+05,3.02,0,0
1.6473e+05,3.03,0,0
1.6255e+05,3.04,0,0
1.6029e+05,3.05,0,0
1.5804e+05,3.06,0,0
1.5573e+05,3.07,0,0
1.5342e+05,3.08,0,0
1.5107e+05,3.09,0,0
1.4873e+05,3.1,0,0
1.4636e+05,3.11,0,0
1.44e+05,3.12,0,0
1.4164e+05,3.13,0,0
1.3927e+05,3.14,0,0
1.3692e+05,3.15,0,0
1.3456e+05,3.16,0,0
1.3223e+05,3.17,0,0
1.299e+05,3.18,0,0
1.276e+05,3.19,0,0
1.253e+05,3.2,0,0
1.2304e+05,3.21,0,0
1.2077e+05,3.22,0,0
1.1854e+05,3.23,0,0
1.1631e+05,3.24,0,0
1.1412e+05,3.25,0,0
1.1194e+05,3.26,0,0
1.0984e+05,3.27,0,0
1.0775e+05,3.28,0,0
1.0575e+05,3.29,0,0
1.0375e+05,3.3,0,0
1.0183e+05,3.31,0,0
99917,3.32,0,0
98074,3.33,0,0
96232,3.34,0,0
94457,3.35,0,0
92681,3.36,0,0
90973,3.37,0,0
89264,3.38,0,0
87621,3.39,0,0
85979,3.4,0,0
84404,3.41,0,0
82829,3.42,0,0
81322,3.43,0,0
79815,3.44,0,0
78377,3.45,0,0
76938,3.46,0,0
75568,3.47,0,0
74198,3.48,0,0
72895,3.49,0,0
71592,3.5,0,0
70354,3.51,0,0
69115,3.52,0,0
67939,3.53,0,0
66763,3.54,0,0
65645,3.55,0,0
64528,3.56,0,0
63466,3.57,0,0
62404,3.58,0,0
61394,3.59,0,0
60384,3.6,0,0
59424,3.61,0,0
58463,3.62,0,0
57548,3.63,0,0
56634,3.64,0,0
55765,3.65,0,0
54895,3.66,0,0
54070,3.67,0,0
53246,3.68,0,0
52464,3.69,0,0
51682,3.7,0,0
50941,3.71,0,0
50201,3.72,0,0
49499,3.73,0,0
48798,3.74,0,0
48135,3.75,0,0
47471,3.76,0,0
46843,3.77,0,0
46215,3.78,0,0
45623,3.79,0,0
45030,3.8,0,0
44473,3.81,0,0
43915,3.82,0,0
43391,3.83,0,0
42867,3.84,0,0
42375,3.85,0,0
41884,3.86,0,0
41424,3.87,0,0
40964,3.88,0,0
40536,3.89,0,0
40107,3.9,0,0
39710,3.91,0,0
39313,3.92,0,0
38946,3.93,0,0
38580,3.94,0,0
38245,3.95,0,0
37909,3.96,0,0
37604,3.97,0,0
37300,3.98,0,0
37027,3.99,0,0
36754,4,0,0
36513,4.01,0,0
36273,4.02,0,0
36066,4.03,0,0
35859,4.04,0,0
35687,4.05,0,0
35515,4.06,0,0
35380,4.07,0,0
35246,4.08,0,0
35151,4.09,0,0
35057,4.1,0,0
35006,4.11,0,0
34956,4.12,0,0
34953,4.13,0,0
34951,4.14,0,0
35003,4.15,0,0
35055,4.16,0,0
35169,4.17,0,0
35284,4.18,0,0
35470,4.19,0,0
35656,4.2,0,0
35927,4.21,0,0
36198,4.22,0,0
36571,4.23,0,0
36944,4.24,0,0
37439,4.25,0,0
37935,4.26,0,0
38582,4.27,0,0
39229,4.28,0,0
40064,4.29,0,0
40899,4.3,0,0
41968,4.31,0,0
43037,4.32,0,0
44407,4.33,0,0
45776,4.34,0,0
47514,4.35,0,0
49252,4.36,0,0
51441,4.37,0,0
53630,4.38,0,0
56344,4.39,0,0
59058,4.4,0,0
62336,4.41,0,0
65614,4.42,0,0
69449,4.43,0,0
73283,4.44,0,0
77602,4.45,0,0
81920,4.46,0,0
86571,4.47,0,0
91222,4.48,0,0
95992,4.49,0,0
1.0076e+05,4.5,0,0
1.0543e+05,4.51,0,0
1.1009e+05,4.52,0,0
1.1446e+05,4.53,0,0
1.1883e+05,4.54,0,0
1.2283e+05,4.55,0,0
1.2683e+05,4.56,0,0
1.3042e+05,4.57,0,0
1.34e+05,4.58,0,0
1.3709e+05,4.59,0,0
1.4018e+05,4.6,0,0
1.4286e+05,4.61,0,0
1.4554e+05,4.62,0,0
1.479e+05,4.63,0,0
1.5026e+05,4.64,0,0
1.5237e+05,4.65,0,0
1.5448e+05,4.66,0,0
1.564e+05,4.67,0,0
1.5832e+05,4.68,0,0
1.6008e+05,4.69,0,0
1.6185e+05,4.7,0,0
1.6347e+05,4.71,0,0
1.6509e+05,4.72,0,0
1.6657e+05,4.73,0,0
1.6805e+05,4.74,0,0
1.6939e+05,4.75,0,0
1.7073e+05,4.76,0,0
1.7193e+05,4.77,0,0
1.7313e+05,4.78,0,0
1.7418e+05,4.79,0,0
1.7524e+05,4.8,0,0
1.7615e+05,4.81,0,0
1.7707e+05,4.82,0,0
1.7785e+05,4.83,0,0
1.7862e+05,4.84,0,0
1.7927e+05,4.85,0,0
1.7991e+05,4.86,0,0
1.8043e+05,4.87,0,0
1.8095e+05,4.88,0,0
1.8136e+05,4.89,0,0
1.8176e+05,4.9,0,0
1.8205e+05,4.91,0,0
1.8235e+05,4.92,0,0
1.8254e+05,4.93,0,0
1.8273e+05,4.94,0,0
1.8283e+05,4.95,0,0
1.8293e+05,4.96,0,0
1.8294e+05,4.97,0,0
1.8295e+05,4.98,0,0
1.8288e+05,4.99,0,0
1.8282e+05,5,0,0
1.8268e+05,5.01,0,0
1.8254e+05,5.02,0,0
1.8234e+05,5.03,0,0
1.8214e+05,5.04,0,0
1.8189e+05,5.05,0,0
1.8164e+05,5.06,0,0
1.8134e+05,5.07,0,0
1.8104e+05,5.08,0,0
1.8071e+05,5.09,0,0
1.8038e+05,5.1,0,0
1.8002e+05,5.11,0,0
1.7965e+05,5.12,0,0
1.7927e+05,5.13,0,0
1.7889e+05,5.14,0,0
1.7849e+05,5.15,0,0
1.7809e+05,5.16,0,0
1.7768e+05,5.17,0,0
1.7727e+05,5.18,0,0
1.7686e+05,5.19,0,0
1.7645e+05,5.2,0,0
1.7603e+05,5.21,0,0
1.7562e+05,5.22,0,0
1.752e+05,5.23,0,0
1.7479e+05,5.24,0,0
1.7437e+05,5.25,0,0
1.7396e+05,5.26,0,0
1.7353e+05,5.27,0,0
1.7311e+05,5.28,0,0
1.7268e+05,5.29,0,0
1.7224e+05,5.3,0,0
1.7178e+05,5.31,0,0
1.7132e+05,5.32,0,0
1.7081e+05,5.33,0,0
1.7031e+05,5.34,0,0
1.6973e+05,5.35,0,0
1.6916e+05,5.36,0,0
1.685e+05,5.37,0,0
1.6783e+05,5.38,0,0
1.6706e+05,5.39,0,0
1.6629e+05,5.4,0,0
1.6538e+05,5.41,0,0
1.6448e+05,5.42,0,0
1.6344e+05,5.43,0,0
1.624e+05,5.44,0,0
1.6121e+05,5.45,0,0
1.6003e+05,5.46,0,0
1.587e+05,5.47,0,0
1.5737e+05,5.48,0,0
1.5592e+05,5.49,0,0
1.5446e+05,5.5,0,0
1.5288e+05,5.51,0,0
1.513e+05,5.52,0,0
1.4962e+05,5.53,0,0
1.4794e+05,5.54,0,0
1.4615e+05,5.55,0,0
1.4437e+05,5.56,0,0
1.4253e+05,5.57,0,0
1.4068e+05,5.58,0,0
1.3879e+05,5.59,0,0
1.369e+05,5.6,0,0
1.3499e+05,5.61,0,0
1.3308e+05,5.62,0,0
1.3118e+05,5.63,0,0
1.2927e+05,5.64,0,0
1.2737e+05,5.65,0,0
1.2548e+05,5.66,0,0
1.236e+05,5.67,0,0
1.2172e+05,5.68,0,0
1.1986e+05,5.69,0,0
1.1801e+05,5.7,0,0
1.1618e+05,5.71,0,0
1.1435e+05,5.72,0,0
1.1256e+05,5.73,0,0
1.1077e+05,5.74,0,0
1.0901e+05,5.75,0,0
1.0726e+05,5.76,0,0
1.0555e+05,5.77,0,0
1.0384e+05,5.78,0,0
1.0217e+05,5.79,0,0
1.0051e+05,5.8,0,0
98897,5.81,0,0
97284,5.82,0,0
95723,5.83,0,0
94162,5.84,0,0
92655,5.85,0,0
91147,5.86,0,0
89695,5.87,0,0
88243,5.88,0,0
86847,5.89,0,0
85451,5.9,0,0
84112,5.91,0,0
82773,5.92,0,0
81492,5.93,0,0
80211,5.94,0,0
78989,5.95,0,0
77766,5.96,0,0
76602,5.97,0,0
75438,5.98,0,0
74331,5.99,0,0
73225,6,0,0
72175,6.01,0,0
71125,6.02,0,0
70128,6.03,0,0
69132,6.04,0,0
68187,6.05,0,0
67243,6.06,0,0
66349,6.07,0,0
65456,6.08,0,0
64612,6.09,0,0
63768,6.1,0,0
62971,6.11,0,0
