"Mach","Points:0","Points:1","Points:2"
2.2015,0.8,0,0
2.218,0.81,0,0
2.2345,0.82,0,0
2.2507,0.83,0,0
2.2669,0.84,0,0
2.2828,0.85,0,0
2.2987,0.86,0,0
2.3143,0.87,0,0
2.3299,0.88,0,0
2.3452,0.89,0,0
2.3605,0.9,0,0
2.3756,0.91,0,0
2.3906,0.92,0,0
2.4054,0.93,0,0
2.4201,0.94,0,0
2.4346,0.95,0,0
2.4492,0.96,0,0
2.4635,0.97,0,0
2.4778,0.98,0,0
2.492,0.99,0,0
2.5061,1,0,0
2.5201,1.01,0,0
2.534,1.02,0,0
2.5479,1.03,0,0
2.5617,1.04,0,0
2.5753,1.05,0,0
2.589,1.06,0,0
2.6026,1.07,0,0
2.6161,1.08,0,0
2.6295,1.09,0,0
2.6429,1.1,0,0
2.6562,1.11,0,0
2.6695,1.12,0,0
2.6826,1.13,0,0
2.6957,1.14,0,0
2.7087,1.15,0,0
2.7217,1.16,0,0
2.7344,1.17,0,0
2.7472,1.18,0,0
2.7599,1.19,0,0
2.7725,1.2,0,0
2.785,1.21,0,0
2.7974,1.22,0,0
2.8097,1.23,0,0
2.8221,1.24,0,0
2.8342,1.25,0,0
2.8464,1.26,0,0
2.8583,1.27,0,0
2.8703,1.28,0,0
2.8821,1.29,0,0
2.8939,1.3,0,0
2.9056,1.31,0,0
2.9172,1.32,0,0
2.9287,1.33,0,0
2.9402,1.34,0,0
2.9515,1.35,0,0
2.9628,1.36,0,0
2.974,1.37,0,0
2.9851,1.38,0,0
2.9961,1.39,0,0
3.0071,1.4,0,0
3.018,1.41,0,0
3.0289,1.42,0,0
3.0395,1.43,0,0
3.0502,1.44,0,0
3.0608,1.45,0,0
3.0713,1.46,0,0
3.0817,1.47,0,0
3.0921,1.48,0,0
3.1023,1.49,0,0
3.1125,1.5,0,0
3.1226,1.51,0,0
3.1327,1.52,0,0
3.1426,1.53,0,0
3.1525,1.54,0,0
3.1623,1.55,0,0
3.172,1.56,0,0
3.1816,1.57,0,0
3.1912,1.58,0,0
3.2007,1.59,0,0
3.2101,1.6,0,0
3.2194,1.61,0,0
3.2286,1.62,0,0
3.2377,1.63,0,0
3.2468,1.64,0,0
3.2557,1.65,0,0
3.2646,1.66,0,0
3.2733,1.67,0,0
3.282,1.68,0,0
3.2905,1.69,0,0
3.299,1.7,0,0
3.3072,1.71,0,0
3.3155,1.72,0,0
3.3235,1.73,0,0
3.3315,1.74,0,0
3.3392,1.75,0,0
3.3469,1.76,0,0
3.3544,1.77,0,0
3.3618,1.78,0,0
3.3689,1.79,0,0
3.376,1.8,0,0
3.3827,1.81,0,0
3.3894,1.82,0,0
3.3956,1.83,0,0
3.4019,1.84,0,0
3.4076,1.85,0,0
3.4133,1.86,0,0
3.4185,1.87,0,0
3.4236,1.88,0,0
3.4279,1.89,0,0
3.4323,1.9,0,0
3.4357,1.91,0,0
3.4392,1.92,0,0
3.4414,1.93,0,0
3.4436,1.94,0,0
2.1661,1.95,0,0
0.88861,1.96,0,0
0.59143,1.97,0,0
0.29425,1.98,0,0
0.2346,1.99,0,0
0.17495,2,0,0
0.13222,2.01,0,0
0.08949,2.02,0,0
0.050593,2.03,0,0
0.011696,2.04,0,0
0.038204,2.05,0,0
0.064713,2.06,0,0
0.093783,2.07,0,0
0.12285,2.08,0,0
0.14457,2.09,0,0
0.16629,2.1,0,0
0.1806,2.11,0,0
0.19492,2.12,0,0
0.20257,2.13,0,0
0.21021,2.14,0,0
0.2122,2.15,0,0
0.21419,2.16,0,0
0.21159,2.17,0,0
0.20899,2.18,0,0
0.20281,2.19,0,0
0.19663,2.2,0,0
0.18775,2.21,0,0
0.17886,2.22,0,0
0.168,2.23,0,0
0.15713,2.24,0,0
0.14485,2.25,0,0
0.13257,2.26,0,0
0.11931,2.27,0,0
0.10604,2.28,0,0
0.092128,2.29,0,0
0.078212,2.3,0,0
0.063891,2.31,0,0
0.049571,2.32,0,0
0.035065,2.33,0,0
0.020559,2.34,0,0
0.01518,2.35,0,0
0.0098009,2.36,0,0
0.02439,2.37,0,0
0.038979,2.38,0,0
0.053749,2.39,0,0
0.06852,2.4,0,0
0.083237,2.41,0,0
0.097954,2.42,0,0
0.11257,2.43,0,0
0.12718,2.44,0,0
0.14166,2.45,0,0
0.15613,2.46,0,0
0.17045,2.47,0,0
0.18478,2.48,0,0
0.19896,2.49,0,0
0.21313,2.5,0,0
0.22722,2.51,0,0
0.2413,2.52,0,0
0.25538,2.53,0,0
0.26946,2.54,0,0
0.28349,2.55,0,0
0.29753,2.56,0,0
0.31134,2.57,0,0
0.32516,2.58,0,0
0.33868,2.59,0,0
0.3522,2.6,0,0
0.36539,2.61,0,0
0.37858,2.62,0,0
0.39143,2.63,0,0
0.40428,2.64,0,0
0.41679,2.65,0,0
0.42929,2.66,0,0
0.44147,2.67,0,0
0.45364,2.68,0,0
0.4655,2.69,0,0
0.47736,2.7,0,0
0.48893,2.71,0,0
0.5005,2.72,0,0
0.51183,2.73,0,0
0.52315,2.74,0,0
0.5343,2.75,0,0
0.54544,2.76,0,0
0.55646,2.77,0,0
0.56749,2.78,0,0
0.57849,2.79,0,0
0.5895,2.8,0,0
0.60057,2.81,0,0
0.61164,2.82,0,0
0.62288,2.83,0,0
0.63412,2.84,0,0
0.64563,2.85,0,0
0.65713,2.86,0,0
0.66897,2.87,0,0
0.68082,2.88,0,0
0.69307,2.89,0,0
0.70532,2.9,0,0
0.71802,2.91,0,0
0.73072,2.92,0,0
0.7439,2.93,0,0
0.75708,2.94,0,0
0.77073,2.95,0,0
0.78439,2.96,0,0
0.79858,2.97,0,0
0.81276,2.98,0,0
0.82737,2.99,0,0
0.84198,3,0,0
0.85678,3.01,0,0
0.87158,3.02,0,0
0.88672,3.03,0,0
0.90185,3.04,0,0
0.91729,3.05,0,0
0.93273,3.06,0,0
0.9484,3.07,0,0
0.96407,3.08,0,0
0.97991,3.09,0,0
0.99574,3.1,0,0
1.0117,3.11,0,0
1.0276,3.12,0,0
1.0437,3.13,0,0
1.0597,3.14,0,0
1.0757,3.15,0,0
1.0918,3.16,0,0
1.1078,3.17,0,0
1.1238,3.18,0,0
1.1399,3.19,0,0
1.1559,3.2,0,0
1.1719,3.21,0,0
1.1879,3.22,0,0
1.2039,3.23,0,0
1.22,3.24,0,0
1.236,3.25,0,0
1.2521,3.26,0,0
1.2678,3.27,0,0
1.2835,3.28,0,0
1.2989,3.29,0,0
1.3142,3.3,0,0
1.3293,3.31,0,0
1.3444,3.32,0,0
1.3592,3.33,0,0
1.3741,3.34,0,0
1.3888,3.35,0,0
1.4034,3.36,0,0
1.4179,3.37,0,0
1.4324,3.38,0,0
1.4467,3.39,0,0
1.461,3.4,0,0
1.475,3.41,0,0
1.4891,3.42,0,0
1.5029,3.43,0,0
1.5168,3.44,0,0
1.5303,3.45,0,0
1.5439,3.46,0,0
1.5572,3.47,0,0
1.5705,3.48,0,0
1.5835,3.49,0,0
1.5965,3.5,0,0
1.6093,3.51,0,0
1.622,3.52,0,0
1.6344,3.53,0,0
1.6469,3.54,0,0
1.659,3.55,0,0
1.6712,3.56,0,0
1.6831,3.57,0,0
1.695,3.58,0,0
1.7067,3.59,0,0
1.7183,3.6,0,0
1.7297,3.61,0,0
1.7411,3.62,0,0
1.7522,3.63,0,0
1.7634,3.64,0,0
1.7743,3.65,0,0
1.7852,3.66,0,0
1.7959,3.67,0,0
1.8065,3.68,0,0
1.8169,3.69,0,0
1.8272,3.7,0,0
1.8373,3.71,0,0
1.8474,3.72,0,0
1.8572,3.73,0,0
1.8671,3.74,0,0
1.8766,3.75,0,0
1.8861,3.76,0,0
1.8954,3.77,0,0
1.9047,3.78,0,0
1.9136,3.79,0,0
1.9226,3.8,0,0
1.9313,3.81,0,0
1.9399,3.82,0,0
1.9483,3.83,0,0
1.9566,3.84,0,0
1.9646,3.85,0,0
1.9726,3.86,0,0
1.9803,3.87,0,0
1.988,3.88,0,0
1.9953,3.89,0,0
2.0026,3.9,0,0
2.0095,3.91,0,0
2.0165,3.92,0,0
2.023,3.93,0,0
2.0295,3.94,0,0
2.0357,3.95,0,0
2.0418,3.96,0,0
2.0474,3.97,0,0
2.0531,3.98,0,0
2.0583,3.99,0,0
2.0635,4,0,0
2.0682,4.01,0,0
2.0729,4.02,0,0
2.077,4.03,0,0
2.0812,4.04,0,0
2.0847,4.05,0,0
2.0882,4.06,0,0
2.0911,4.07,0,0
2.094,4.08,0,0
2.0961,4.09,0,0
2.0983,4.1,0,0
2.0997,4.11,0,0
2.101,4.12,0,0
2.1015,4.13,0,0
2.1019,4.14,0,0
2.1014,4.15,0,0
2.1008,4.16,0,0
