"Pressure","Points:0","Points:1","Points:2"
2.9571e+05,0,0,0
2.9571e+05,0.01,0,0
2.9571e+05,0.02,0,0
2.9571e+05,0.03,0,0
2.9571e+05,0.04,0,0
2.9571e+05,0.05,0,0
2.9571e+05,0.06,0,0
2.9571e+05,0.07,0,0
2.9571e+05,0.08,0,0
2.9571e+05,0.09,0,0
2.9571e+05,0.1,0,0
2.9571e+05,0.11,0,0
2.9571e+05,0.12,0,0
2.9571e+05,0.13,0,0
2.9571e+05,0.14,0,0
2.9571e+05,0.15,0,0
2.9571e+05,0.16,0,0
2.9571e+05,0.17,0,0
2.9571e+05,0.18,0,0
2.9571e+05,0.19,0,0
2.9571e+05,0.2,0,0
2.9571e+05,0.21,0,0
2.9571e+05,0.22,0,0
2.9571e+05,0.23,0,0
2.957e+05,0.24,0,0
2.9573e+05,0.25,0,0
2.9576e+05,0.26,0,0
2.9595e+05,0.27,0,0
2.9614e+05,0.28,0,0
2.9637e+05,0.29,0,0
2.9661e+05,0.3,0,0
2.9666e+05,0.31,0,0
2.9672e+05,0.32,0,0
2.9654e+05,0.33,0,0
2.9637e+05,0.34,0,0
2.9202e+05,0.35,0,0
2.8767e+05,0.36,0,0
2.7964e+05,0.37,0,0
2.7161e+05,0.38,0,0
2.6432e+05,0.39,0,0
2.5702e+05,0.4,0,0
2.4789e+05,0.41,0,0
2.3876e+05,0.42,0,0
2.2999e+05,0.43,0,0
2.2122e+05,0.44,0,0
2.123e+05,0.45,0,0
2.0338e+05,0.46,0,0
1.9562e+05,0.47,0,0
1.8785e+05,0.48,0,0
1.8195e+05,0.49,0,0
1.7605e+05,0.5,0,0
1.7079e+05,0.51,0,0
1.6554e+05,0.52,0,0
1.6017e+05,0.53,0,0
1.5479e+05,0.54,0,0
1.4949e+05,0.55,0,0
1.4418e+05,0.56,0,0
1.3932e+05,0.57,0,0
1.3446e+05,0.58,0,0
1.3012e+05,0.59,0,0
1.2578e+05,0.6,0,0
1.2186e+05,0.61,0,0
1.1794e+05,0.62,0,0
1.1433e+05,0.63,0,0
1.1073e+05,0.64,0,0
1.0738e+05,0.65,0,0
1.0403e+05,0.66,0,0
1.0088e+05,0.67,0,0
97738,0.68,0,0
94779,0.69,0,0
91820,0.7,0,0
89051,0.71,0,0
86281,0.72,0,0
83701,0.73,0,0
81122,0.74,0,0
78738,0.75,0,0
76355,0.76,0,0
74153,0.77,0,0
71951,0.78,0,0
69913,0.79,0,0
67876,0.8,0,0
65989,0.81,0,0
64102,0.82,0,0
62350,0.83,0,0
60597,0.84,0,0
58967,0.85,0,0
57337,0.86,0,0
55819,0.87,0,0
