"Mach","Pressure","Points:0","Points:1","Points:2"
1.334,2.7821e+05,0,0,0
1.334,2.7821e+05,0.01,0,0
1.334,2.7821e+05,0.02,0,0
1.334,2.7821e+05,0.03,0,0
1.334,2.7821e+05,0.04,0,0
1.334,2.7821e+05,0.05,0,0
1.334,2.7821e+05,0.06,0,0
1.334,2.7821e+05,0.07,0,0
1.334,2.7821e+05,0.08,0,0
1.334,2.782e+05,0.09,0,0
1.334,2.7819e+05,0.1,0,0
1.3341,2.7816e+05,0.11,0,0
1.3342,2.7814e+05,0.12,0,0
1.3344,2.7806e+05,0.13,0,0
1.3346,2.7799e+05,0.14,0,0
1.335,2.7784e+05,0.15,0,0
1.3354,2.777e+05,0.16,0,0
1.3362,2.7744e+05,0.17,0,0
1.3369,2.7717e+05,0.18,0,0
1.3386,2.7657e+05,0.19,0,0
1.3402,2.7596e+05,0.2,0,0
1.3428,2.7504e+05,0.21,0,0
1.3454,2.7413e+05,0.22,0,0
1.3491,2.7282e+05,0.23,0,0
1.3527,2.7151e+05,0.24,0,0
1.3565,2.7017e+05,0.25,0,0
1.3603,2.6884e+05,0.26,0,0
1.3669,2.665e+05,0.27,0,0
1.3735,2.6416e+05,0.28,0,0
1.3825,2.6097e+05,0.29,0,0
1.3915,2.5778e+05,0.3,0,0
1.4021,2.5412e+05,0.31,0,0
1.4128,2.5045e+05,0.32,0,0
1.4265,2.4574e+05,0.33,0,0
1.4403,2.4104e+05,0.34,0,0
1.4557,2.3604e+05,0.35,0,0
1.4711,2.3105e+05,0.36,0,0
1.4861,2.2631e+05,0.37,0,0
1.5011,2.2157e+05,0.38,0,0
1.5146,2.174e+05,0.39,0,0
1.5281,2.1323e+05,0.4,0,0
1.5451,2.0823e+05,0.41,0,0
1.5621,2.0323e+05,0.42,0,0
1.5779,1.9876e+05,0.43,0,0
1.5936,1.9428e+05,0.44,0,0
1.6106,1.896e+05,0.45,0,0
1.6276,1.8492e+05,0.46,0,0
1.6468,1.7983e+05,0.47,0,0
1.6661,1.7474e+05,0.48,0,0
1.6837,1.7025e+05,0.49,0,0
1.7014,1.6577e+05,0.5,0,0
1.7174,1.6191e+05,0.51,0,0
1.7334,1.5806e+05,0.52,0,0
1.7496,1.5433e+05,0.53,0,0
1.7659,1.5059e+05,0.54,0,0
1.7827,1.4689e+05,0.55,0,0
1.7995,1.4318e+05,0.56,0,0
1.8165,1.3957e+05,0.57,0,0
1.8336,1.3595e+05,0.58,0,0
1.8507,1.3251e+05,0.59,0,0
1.8677,1.2907e+05,0.6,0,0
1.8847,1.2581e+05,0.61,0,0
1.9016,1.2255e+05,0.62,0,0
1.9185,1.1946e+05,0.63,0,0
1.9353,1.1638e+05,0.64,0,0
1.9522,1.1344e+05,0.65,0,0
1.969,1.105e+05,0.66,0,0
1.986,1.0769e+05,0.67,0,0
2.0029,1.0487e+05,0.68,0,0
2.02,1.0216e+05,0.69,0,0
2.0371,99456,0.7,0,0
2.0544,96863,0.71,0,0
2.0716,94271,0.72,0,0
2.0889,91796,0.73,0,0
2.1062,89321,0.74,0,0
2.1234,86972,0.75,0,0
2.1407,84624,0.76,0,0
2.1578,82409,0.77,0,0
2.175,80195,0.78,0,0
2.1919,78119,0.79,0,0
2.2088,76042,0.8,0,0
2.2255,74100,0.81,0,0
2.2422,72159,0.82,0,0
2.2585,70346,0.83,0,0
2.2749,68533,0.84,0,0
2.2909,66841,0.85,0,0
2.307,65149,0.86,0,0
2.3228,63569,0.87,0,0
2.3385,61990,0.88,0,0
2.354,60514,0.89,0,0
2.3694,59038,0.9,0,0
2.3846,57657,0.91,0,0
2.3997,56277,0.92,0,0
2.4146,54982,0.93,0,0
2.4295,53688,0.94,0,0
2.4442,52473,0.95,0,0
2.4589,51258,0.96,0,0
2.4733,50114,0.97,0,0
2.4878,48970,0.98,0,0
2.5021,47892,0.99,0,0
2.5163,46814,1,0,0
2.5304,45796,1.01,0,0
2.5445,44778,1.02,0,0
2.5584,43816,1.03,0,0
2.5724,42853,1.04,0,0
2.5862,41942,1.05,0,0
2.6,41031,1.06,0,0
2.6136,40167,1.07,0,0
2.6273,39304,1.08,0,0
2.6408,38486,1.09,0,0
2.6544,37668,1.1,0,0
2.6677,36893,1.11,0,0
2.6811,36119,1.12,0,0
2.6944,35385,1.13,0,0
2.7076,34652,1.14,0,0
2.7206,33957,1.15,0,0
2.7337,33263,1.16,0,0
2.7466,32606,1.17,0,0
2.7595,31948,1.18,0,0
2.7723,31326,1.19,0,0
2.785,30704,1.2,0,0
2.7976,30114,1.21,0,0
2.8102,29524,1.22,0,0
2.8226,28964,1.23,0,0
2.835,28405,1.24,0,0
2.8473,27874,1.25,0,0
2.8596,27344,1.26,0,0
2.8717,26841,1.27,0,0
2.8838,26338,1.28,0,0
2.8957,25861,1.29,0,0
2.9077,25384,1.3,0,0
2.9195,24931,1.31,0,0
2.9313,24478,1.32,0,0
2.9429,24047,1.33,0,0
2.9545,23617,1.34,0,0
2.966,23208,1.35,0,0
2.9775,22798,1.36,0,0
2.9888,22409,1.37,0,0
3.0002,22019,1.38,0,0
3.0113,21648,1.39,0,0
3.0225,21277,1.4,0,0
3.0336,20924,1.41,0,0
3.0446,20571,1.42,0,0
3.0555,20234,1.43,0,0
3.0664,19898,1.44,0,0
3.0772,19577,1.45,0,0
3.088,19256,1.46,0,0
3.0986,18950,1.47,0,0
3.1092,18643,1.48,0,0
3.1197,18351,1.49,0,0
3.1302,18058,1.5,0,0
3.1406,17779,1.51,0,0
3.151,17500,1.52,0,0
3.1612,17233,1.53,0,0
3.1715,16966,1.54,0,0
3.1816,16711,1.55,0,0
3.1917,16456,1.56,0,0
3.2017,16212,1.57,0,0
3.2117,15968,1.58,0,0
3.2216,15735,1.59,0,0
3.2314,15502,1.6,0,0
3.2412,15279,1.61,0,0
3.2509,15056,1.62,0,0
3.2605,14843,1.63,0,0
3.2701,14629,1.64,0,0
3.2796,14425,1.65,0,0
3.2891,14221,1.66,0,0
3.2984,14026,1.67,0,0
3.3078,13831,1.68,0,0
3.317,13644,1.69,0,0
3.3262,13458,1.7,0,0
3.3352,13279,1.71,0,0
3.3443,13101,1.72,0,0
3.3532,12930,1.73,0,0
3.3621,12760,1.74,0,0
3.3708,12597,1.75,0,0
3.3796,12434,1.76,0,0
3.3882,12279,1.77,0,0
3.3968,12123,1.78,0,0
3.4052,11975,1.79,0,0
3.4136,11827,1.8,0,0
3.4218,11686,1.81,0,0
3.43,11544,1.82,0,0
3.4381,11410,1.83,0,0
3.4461,11276,1.84,0,0
3.4539,11148,1.85,0,0
3.4617,11021,1.86,0,0
3.4693,10900,1.87,0,0
3.4769,10780,1.88,0,0
3.4843,10666,1.89,0,0
3.4916,10552,1.9,0,0
3.4986,10445,1.91,0,0
3.5057,10338,1.92,0,0
3.5124,10238,1.93,0,0
3.5192,10138,1.94,0,0
3.5255,10045,1.95,0,0
3.5319,9952.4,1.96,0,0
3.5379,9867.5,1.97,0,0
3.5438,9782.5,1.98,0,0
3.5493,9705.9,1.99,0,0
3.5548,9629.3,2,0,0
3.5597,9561.9,2.01,0,0
3.5646,9494.5,2.02,0,0
3.5651,9462.8,2.03,0,0
3.5657,9431,2.04,0,0
2.2066,40702,2.05,0,0
0.84749,71973,2.06,0,0
0.5855,1.0019e+05,2.07,0,0
0.32352,1.2841e+05,2.08,0,0
0.27562,1.3437e+05,2.09,0,0
0.22772,1.4034e+05,2.1,0,0
0.18961,1.425e+05,2.11,0,0
0.1515,1.4465e+05,2.12,0,0
0.11157,1.4595e+05,2.13,0,0
0.071639,1.4725e+05,2.14,0,0
0.04161,1.4792e+05,2.15,0,0
0.011581,1.4859e+05,2.16,0,0
0.0463,1.4878e+05,2.17,0,0
0.081019,1.4897e+05,2.18,0,0
0.1139,1.4886e+05,2.19,0,0
0.14677,1.4875e+05,2.2,0,0
0.17451,1.4854e+05,2.21,0,0
0.20224,1.4833e+05,2.22,0,0
0.22396,1.4819e+05,2.23,0,0
0.24568,1.4805e+05,2.24,0,0
0.26121,1.481e+05,2.25,0,0
0.27674,1.4815e+05,2.26,0,0
0.28652,1.4845e+05,2.27,0,0
0.29631,1.4875e+05,2.28,0,0
0.3011,1.4932e+05,2.29,0,0
0.30589,1.4989e+05,2.3,0,0
0.30648,1.5071e+05,2.31,0,0
0.30708,1.5152e+05,2.32,0,0
0.30424,1.5255e+05,2.33,0,0
0.30139,1.5358e+05,2.34,0,0
0.29578,1.5478e+05,2.35,0,0
0.29016,1.5597e+05,2.36,0,0
0.28235,1.5729e+05,2.37,0,0
0.27453,1.5861e+05,2.38,0,0
0.26496,1.6e+05,2.39,0,0
0.25538,1.614e+05,2.4,0,0
0.24439,1.6285e+05,2.41,0,0
0.23341,1.6429e+05,2.42,0,0
0.22141,1.6575e+05,2.43,0,0
0.20942,1.672e+05,2.44,0,0
0.19672,1.6863e+05,2.45,0,0
0.18401,1.7007e+05,2.46,0,0
0.1708,1.7146e+05,2.47,0,0
0.15759,1.7285e+05,2.48,0,0
0.14403,1.7418e+05,2.49,0,0
0.13047,1.7551e+05,2.5,0,0
0.11667,1.7677e+05,2.51,0,0
0.10288,1.7802e+05,2.52,0,0
0.08896,1.7919e+05,2.53,0,0
0.075037,1.8036e+05,2.54,0,0
0.061056,1.8144e+05,2.55,0,0
0.047075,1.8251e+05,2.56,0,0
0.033133,1.8349e+05,2.57,0,0
0.019192,1.8446e+05,2.58,0,0
0.014428,1.8534e+05,2.59,0,0
0.0096634,1.8621e+05,2.6,0,0
0.023446,1.8698e+05,2.61,0,0
0.037229,1.8775e+05,2.62,0,0
0.051121,1.8841e+05,2.63,0,0
0.065012,1.8907e+05,2.64,0,0
0.078822,1.8962e+05,2.65,0,0
0.092632,1.9018e+05,2.66,0,0
0.10634,1.9063e+05,2.67,0,0
0.12005,1.9108e+05,2.68,0,0
0.13363,1.9142e+05,2.69,0,0
0.14722,1.9177e+05,2.7,0,0
0.16067,1.9201e+05,2.71,0,0
0.17413,1.9225e+05,2.72,0,0
0.18747,1.924e+05,2.73,0,0
0.20082,1.9255e+05,2.74,0,0
0.21408,1.926e+05,2.75,0,0
0.22734,1.9266e+05,2.76,0,0
0.2406,1.9263e+05,2.77,0,0
0.25386,1.926e+05,2.78,0,0
0.2672,1.9248e+05,2.79,0,0
0.28055,1.9236e+05,2.8,0,0
0.29387,1.9215e+05,2.81,0,0
0.3072,1.9193e+05,2.82,0,0
0.3204,1.9164e+05,2.83,0,0
0.3336,1.9134e+05,2.84,0,0
0.34662,1.9097e+05,2.85,0,0
0.35965,1.906e+05,2.86,0,0
0.37249,1.9015e+05,2.87,0,0
