"Mach","Pressure","Points:0","Points:1","Points:2"
1.2851,2.9571e+05,0,0,0
1.2851,2.9571e+05,0.01,0,0
1.2851,2.9571e+05,0.02,0,0
1.2851,2.9571e+05,0.03,0,0
1.2851,2.9571e+05,0.04,0,0
1.2852,2.957e+05,0.05,0,0
1.2852,2.957e+05,0.06,0,0
1.2852,2.9568e+05,0.07,0,0
1.2852,2.9567e+05,0.08,0,0
1.2853,2.9564e+05,0.09,0,0
1.2854,2.9561e+05,0.1,0,0
1.2857,2.955e+05,0.11,0,0
1.286,2.954e+05,0.12,0,0
1.2866,2.9518e+05,0.13,0,0
1.2872,2.9496e+05,0.14,0,0
1.2882,2.9456e+05,0.15,0,0
1.2892,2.9417e+05,0.16,0,0
1.2908,2.9353e+05,0.17,0,0
1.2925,2.929e+05,0.18,0,0
1.2958,2.9161e+05,0.19,0,0
1.2991,2.9031e+05,0.2,0,0
1.3037,2.8858e+05,0.21,0,0
1.3082,2.8684e+05,0.22,0,0
1.314,2.8462e+05,0.23,0,0
1.3199,2.8239e+05,0.24,0,0
1.3255,2.8028e+05,0.25,0,0
1.3312,2.7816e+05,0.26,0,0
1.3402,2.7477e+05,0.27,0,0
1.3492,2.7138e+05,0.28,0,0
1.3607,2.6709e+05,0.29,0,0
1.3722,2.6281e+05,0.3,0,0
1.385,2.5818e+05,0.31,0,0
1.3978,2.5355e+05,0.32,0,0
1.4137,2.4792e+05,0.33,0,0
1.4296,2.4228e+05,0.34,0,0
1.4465,2.3659e+05,0.35,0,0
1.4635,2.3089e+05,0.36,0,0
1.4796,2.2568e+05,0.37,0,0
1.4957,2.2046e+05,0.38,0,0
1.5098,2.1599e+05,0.39,0,0
1.5239,2.1152e+05,0.4,0,0
1.5414,2.0626e+05,0.41,0,0
1.559,2.01e+05,0.42,0,0
1.575,1.9635e+05,0.43,0,0
1.5911,1.9169e+05,0.44,0,0
1.6083,1.8687e+05,0.45,0,0
1.6256,1.8206e+05,0.46,0,0
1.645,1.7685e+05,0.47,0,0
1.6645,1.7164e+05,0.48,0,0
1.6822,1.6709e+05,0.49,0,0
1.7,1.6254e+05,0.5,0,0
1.716,1.5865e+05,0.51,0,0
1.732,1.5477e+05,0.52,0,0
1.7482,1.5103e+05,0.53,0,0
1.7644,1.4729e+05,0.54,0,0
1.7811,1.436e+05,0.55,0,0
1.7978,1.399e+05,0.56,0,0
1.8148,1.3631e+05,0.57,0,0
1.8318,1.3272e+05,0.58,0,0
1.8487,1.2931e+05,0.59,0,0
1.8657,1.2589e+05,0.6,0,0
1.8825,1.2267e+05,0.61,0,0
1.8994,1.1944e+05,0.62,0,0
1.9161,1.164e+05,0.63,0,0
1.9328,1.1335e+05,0.64,0,0
1.9495,1.1045e+05,0.65,0,0
1.9663,1.0756e+05,0.66,0,0
1.9831,1.0479e+05,0.67,0,0
2,1.0202e+05,0.68,0,0
2.017,99356,0.69,0,0
2.034,96695,0.7,0,0
2.0511,94150,0.71,0,0
2.0683,91605,0.72,0,0
2.0855,89178,0.73,0,0
2.1027,86752,0.74,0,0
2.1199,84451,0.75,0,0
2.1371,82151,0.76,0,0
2.1542,79984,0.77,0,0
2.1713,77818,0.78,0,0
2.1881,75788,0.79,0,0
2.205,73759,0.8,0,0
2.2216,71863,0.81,0,0
2.2383,69967,0.82,0,0
2.2546,68199,0.83,0,0
2.2709,66430,0.84,0,0
2.287,64781,0.85,0,0
2.303,63132,0.86,0,0
2.3187,61593,0.87,0,0
2.3345,60055,0.88,0,0
2.3499,58619,0.89,0,0
2.3653,57183,0.9,0,0
2.3805,55840,0.91,0,0
2.3957,54497,0.92,0,0
2.4106,53240,0.93,0,0
2.4255,51982,0.94,0,0
2.4402,50801,0.95,0,0
2.4548,49621,0.96,0,0
2.4693,48510,0.97,0,0
2.4838,47400,0.98,0,0
2.4981,46353,0.99,0,0
2.5124,45307,1,0,0
2.5265,44319,1.01,0,0
2.5406,43332,1.02,0,0
2.5546,42398,1.03,0,0
2.5686,41465,1.04,0,0
2.5824,40581,1.05,0,0
2.5962,39698,1.06,0,0
2.61,38861,1.07,0,0
2.6237,38023,1.08,0,0
2.6373,37231,1.09,0,0
2.6508,36438,1.1,0,0
2.6643,35687,1.11,0,0
2.6777,34936,1.12,0,0
2.691,34226,1.13,0,0
2.7043,33515,1.14,0,0
2.7175,32843,1.15,0,0
2.7306,32170,1.16,0,0
2.7436,31533,1.17,0,0
2.7566,30896,1.18,0,0
2.7694,30294,1.19,0,0
2.7822,29691,1.2,0,0
2.7949,29120,1.21,0,0
2.8076,28549,1.22,0,0
2.8201,28007,1.23,0,0
2.8326,27465,1.24,0,0
2.845,26952,1.25,0,0
2.8573,26438,1.26,0,0
2.8695,25952,1.27,0,0
2.8817,25465,1.28,0,0
2.8938,25003,1.29,0,0
2.9058,24542,1.3,0,0
2.9177,24103,1.31,0,0
