"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","PT","Pressure","Pressure_Coefficient","Temperature","c","u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99784,3.0651e+05,2.526,626.1,10.226,0,2.4049e+05,44012,-8.9347e+17,148.48,248.46,627.6,1,1.056,1.056,0,0
0.98696,3.0336e+05,2.5355,620.35,10.038,0,2.3835e+05,43342,-9.0162e+17,147.85,247.94,628.65,1,1.062,1.062,0,0
0.97716,3.0051e+05,2.5447,615.08,9.8638,0,2.3639e+05,42751,-9.088e+17,147.26,247.44,629.62,1,1.068,1.068,0,0
0.96735,2.9766e+05,2.5538,609.81,9.69,0,2.3442e+05,42159,-9.1599e+17,146.67,246.94,630.6,1,1.074,1.074,0,0
0.95754,2.9481e+05,2.563,604.54,9.5161,0,2.3246e+05,41568,-9.2318e+17,146.08,246.45,631.57,1,1.08,1.08,0,0
0.94773,2.9196e+05,2.5721,599.27,9.3423,0,2.305e+05,40977,-9.3037e+17,145.49,245.95,632.55,1,1.086,1.086,0,0
0.93792,2.8911e+05,2.5813,594,9.1684,0,2.2853e+05,40385,-9.3756e+17,144.9,245.45,633.52,1,1.092,1.092,0,0
0.92812,2.8626e+05,2.5904,588.73,8.9946,0,2.2657e+05,39794,-9.4475e+17,144.31,244.95,634.49,1,1.098,1.098,0,0
0.91831,2.8341e+05,2.5996,583.47,8.8207,0,2.246e+05,39203,-9.5194e+17,143.72,244.46,635.47,1,1.104,1.104,0,0
0.90941,2.8081e+05,2.6083,578.62,8.669,0,2.228e+05,38676,-9.5835e+17,143.17,243.99,636.37,1,1.11,1.11,0,0
0.90095,2.7834e+05,2.6169,573.99,8.5283,0,2.2107e+05,38181,-9.6436e+17,142.64,243.53,637.25,1,1.116,1.116,0,0
0.8925,2.7587e+05,2.6254,569.36,8.3877,0,2.1934e+05,37686,-9.7038e+17,142.11,243.07,638.12,1,1.122,1.122,0,0
0.88405,2.734e+05,2.634,564.73,8.247,0,2.1761e+05,37191,-9.764e+17,141.57,242.62,638.99,1,1.128,1.128,0,0
0.8756,2.7093e+05,2.6426,560.1,8.1063,0,2.1588e+05,36697,-9.8241e+17,141.04,242.16,639.87,1,1.134,1.134,0,0
0.86715,2.6846e+05,2.6511,555.47,7.9656,0,2.1415e+05,36202,-9.8843e+17,140.51,241.7,640.74,1,1.14,1.14,0,0
0.85869,2.6599e+05,2.6597,550.84,7.8249,0,2.1242e+05,35707,-9.9444e+17,139.97,241.25,641.61,1,1.146,1.146,0,0
0.85024,2.6351e+05,2.6682,546.21,7.6842,0,2.107e+05,35212,-1.0005e+18,139.44,240.79,642.48,1,1.152,1.152,0,0
0.84287,2.6135e+05,2.6763,542.11,7.5736,0,2.0916e+05,34792,-1.0056e+18,138.96,240.37,643.28,1,1.158,1.158,0,0
0.83552,2.5919e+05,2.6844,538.01,7.4634,0,2.0763e+05,34374,-1.0107e+18,138.47,239.95,644.06,1,1.164,1.164,0,0
0.82816,2.5703e+05,2.6924,533.91,7.3532,0,2.061e+05,33955,-1.0157e+18,137.99,239.53,644.85,1,1.17,1.17,0,0
0.8208,2.5487e+05,2.7005,529.81,7.2429,0,2.0456e+05,33536,-1.0208e+18,137.5,239.1,645.64,1,1.176,1.176,0,0
0.81345,2.527e+05,2.7085,525.71,7.1327,0,2.0303e+05,33117,-1.0259e+18,137.02,238.68,646.43,1,1.182,1.182,0,0
0.80609,2.5054e+05,2.7166,521.61,7.0225,0,2.015e+05,32698,-1.031e+18,136.53,238.26,647.22,1,1.188,1.188,0,0
0.79873,2.4838e+05,2.7246,517.51,6.9122,0,1.9996e+05,32279,-1.0361e+18,136.05,237.84,648.01,1,1.194,1.194,0,0
0.79162,2.4629e+05,2.7326,513.53,6.8107,0,1.9847e+05,31877,-1.041e+18,135.57,237.43,648.78,1,1.2,1.2,0,0
0.78506,2.4435e+05,2.7403,509.82,6.7288,0,1.9708e+05,31513,-1.0454e+18,135.13,237.03,649.51,1,1.206,1.206,0,0
0.77849,2.4241e+05,2.748,506.1,6.6468,0,1.9569e+05,31150,-1.0499e+18,134.68,236.64,650.23,1,1.212,1.212,0,0
0.77192,2.4047e+05,2.7557,502.38,6.5649,0,1.943e+05,30786,-1.0543e+18,134.23,236.24,650.96,1,1.218,1.218,0,0
0.76536,2.3854e+05,2.7634,498.66,6.483,0,1.929e+05,30422,-1.0587e+18,133.78,235.85,651.69,1,1.224,1.224,0,0
0.75879,2.366e+05,2.7711,494.95,6.4011,0,1.9151e+05,30059,-1.0631e+18,133.33,235.45,652.42,1,1.23,1.23,0,0
0.75222,2.3466e+05,2.7788,491.23,6.3192,0,1.9012e+05,29695,-1.0675e+18,132.88,235.06,653.14,1,1.236,1.236,0,0
0.74566,2.3272e+05,2.7865,487.51,6.2372,0,1.8872e+05,29331,-1.072e+18,132.43,234.66,653.87,1,1.242,1.242,0,0
0.73949,2.309e+05,2.794,483.99,6.1628,0,1.874e+05,28995,-1.076e+18,132,234.28,654.57,1,1.248,1.248,0,0
0.73356,2.2914e+05,2.8014,480.58,6.0928,0,1.8613e+05,28675,-1.0799e+18,131.59,233.91,655.24,1,1.254,1.254,0,0
0.72763,2.2738e+05,2.8089,477.17,6.0228,0,1.8485e+05,28355,-1.0838e+18,131.17,233.53,655.92,1,1.26,1.26,0,0
0.72169,2.2562e+05,2.8163,473.77,5.9528,0,1.8357e+05,28036,-1.0877e+18,130.75,233.16,656.6,1,1.266,1.266,0,0
0.71576,2.2386e+05,2.8237,470.36,5.8828,0,1.8229e+05,27716,-1.0916e+18,130.33,232.78,657.28,1,1.272,1.272,0,0
0.70983,2.2211e+05,2.8311,466.95,5.8128,0,1.8101e+05,27396,-1.0955e+18,129.91,232.41,657.96,1,1.278,1.278,0,0
0.7039,2.2035e+05,2.8386,463.55,5.7428,0,1.7973e+05,27076,-1.0994e+18,129.49,232.04,658.63,1,1.284,1.284,0,0
0.69797,2.1859e+05,2.846,460.14,5.6728,0,1.7846e+05,26756,-1.1033e+18,129.07,231.66,659.31,1,1.29,1.29,0,0
0.69254,2.1697e+05,2.8532,456.98,5.6169,0,1.7727e+05,26470,-1.1067e+18,128.67,231.31,659.95,1,1.296,1.296,0,0
0.68714,2.1536e+05,2.8604,453.84,5.5619,0,1.7608e+05,26187,-1.1102e+18,128.28,230.95,660.58,1,1.302,1.302,0,0
0.68174,2.1375e+05,2.8676,450.69,5.5068,0,1.749e+05,25903,-1.1136e+18,127.89,230.59,661.21,1,1.308,1.308,0,0
0.67634,2.1215e+05,2.8748,447.55,5.4518,0,1.7372e+05,25619,-1.1171e+18,127.49,230.24,661.84,1,1.314,1.314,0,0
0.67094,2.1054e+05,2.882,444.4,5.3967,0,1.7253e+05,25335,-1.1205e+18,127.1,229.88,662.47,1,1.32,1.32,0,0
0.66554,2.0893e+05,2.8891,441.26,5.3416,0,1.7135e+05,25051,-1.124e+18,126.7,229.52,663.1,1,1.326,1.326,0,0
0.66014,2.0732e+05,2.8963,438.11,5.2866,0,1.7017e+05,24767,-1.1274e+18,126.31,229.17,663.74,1,1.332,1.332,0,0
0.65489,2.0575e+05,2.9034,435.04,5.2283,0,1.6901e+05,24493,-1.1308e+18,125.92,228.82,664.35,1,1.338,1.338,0,0
0.65006,2.0431e+05,2.9103,432.2,5.161,0,1.6794e+05,24245,-1.1338e+18,125.55,228.48,664.94,1,1.344,1.344,0,0
0.64523,2.0286e+05,2.9172,429.35,5.0938,0,1.6687e+05,23996,-1.1368e+18,125.19,228.15,665.52,1,1.35,1.35,0,0
0.6404,2.0141e+05,2.9241,426.5,5.0265,0,1.6579e+05,23748,-1.1398e+18,124.82,227.81,666.1,1,1.356,1.356,0,0
0.63557,1.9997e+05,2.9309,423.65,4.9592,0,1.6472e+05,23499,-1.1429e+18,124.45,227.47,666.68,1,1.362,1.362,0,0
0.63073,1.9852e+05,2.9378,420.8,4.892,0,1.6364e+05,23251,-1.1459e+18,124.08,227.14,667.26,1,1.368,1.368,0,0
