"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","PT","Pressure","Pressure_Coefficient","Temperature","c","u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8489,5.4574e+05,1.9986,1031.7,-12.532,0,3.9105e+05,1.0313e+05,-1.7474e+17,187.7,279.36,558.25,1,0.48,0.48,0,0
1.8668,5.5057e+05,1.9894,1039,-13.24,0,3.9375e+05,1.0455e+05,-1.5745e+17,188.46,279.92,556.8,1,0.486,0.486,0,0
1.8848,5.554e+05,1.9802,1046.2,-13.948,0,3.9644e+05,1.0597e+05,-1.4016e+17,189.22,280.49,555.34,1,0.492,0.492,0,0
1.9027,5.6023e+05,1.9709,1053.5,-14.656,0,3.9914e+05,1.0739e+05,-1.2287e+17,189.98,281.05,553.88,1,0.498,0.498,0,0
1.9206,5.6506e+05,1.9617,1060.8,-15.365,0,4.0183e+05,1.0882e+05,-1.0558e+17,190.74,281.62,552.43,1,0.504,0.504,0,0
1.9387,5.6994e+05,1.9527,1068,-15.512,0,4.0452e+05,1.1028e+05,-8.7812e+16,191.5,282.17,550.99,1,0.51,0.51,0,0
1.957,5.7487e+05,1.944,1075.2,-15.131,0,4.0721e+05,1.1178e+05,-6.9597e+16,192.24,282.72,549.58,1,0.516,0.516,0,0
1.9753,5.798e+05,1.9354,1082.4,-14.75,0,4.0989e+05,1.1327e+05,-5.1382e+16,192.99,283.27,548.16,1,0.522,0.522,0,0
1.9937,5.8473e+05,1.9267,1089.5,-14.368,0,4.1258e+05,1.1477e+05,-3.3167e+16,193.73,283.81,546.75,1,0.528,0.528,0,0
2.012,5.8967e+05,1.918,1096.7,-13.987,0,4.1526e+05,1.1627e+05,-1.4952e+16,194.48,284.36,545.33,1,0.534,0.534,0,0
2.0303,5.946e+05,1.9093,1103.9,-13.606,0,4.1795e+05,1.1777e+05,3.2632e+15,195.23,284.91,543.92,1,0.54,0.54,0,0
2.0486,5.9953e+05,1.9006,1111.1,-13.225,0,4.2063e+05,1.1927e+05,2.1478e+16,195.97,285.45,542.5,1,0.546,0.546,0,0
2.0669,6.0446e+05,1.8919,1118.3,-12.843,0,4.2332e+05,1.2076e+05,3.9693e+16,196.72,286,541.09,1,0.552,0.552,0,0
2.0833,6.0889e+05,1.8848,1124.6,-11.61,0,4.257e+05,1.2213e+05,5.6275e+16,197.35,286.46,539.88,1,0.558,0.558,0,0
2.0994,6.1323e+05,1.8779,1130.8,-10.208,0,4.2803e+05,1.2347e+05,7.2532e+16,197.96,286.9,538.73,1,0.564,0.564,0,0
2.1155,6.1756e+05,1.871,1136.9,-8.8056,0,4.3035e+05,1.248e+05,8.8789e+16,198.57,287.34,537.57,1,0.57,0.57,0,0
2.1316,6.2189e+05,1.8641,1143.1,-7.4033,0,4.3268e+05,1.2614e+05,1.0505e+17,199.18,287.78,536.41,1,0.576,0.576,0,0
2.1476,6.2622e+05,1.8572,1149.2,-6.001,0,4.3501e+05,1.2748e+05,1.213e+17,199.79,288.22,535.25,1,0.582,0.582,0,0
2.1637,6.3055e+05,1.8504,1155.4,-4.5986,0,4.3733e+05,1.2881e+05,1.3756e+17,200.4,288.66,534.1,1,0.588,0.588,0,0
2.1798,6.3489e+05,1.8435,1161.6,-3.1963,0,4.3966e+05,1.3015e+05,1.5382e+17,201.01,289.1,532.94,1,0.594,0.594,0,0
2.1931,6.3848e+05,1.8378,1166.7,-1.8135,0,4.4159e+05,1.3126e+05,1.6733e+17,201.52,289.47,531.98,1,0.6,0.6,0,0
2.1914,6.3805e+05,1.8384,1166,-0.5384,0,4.4136e+05,1.3113e+05,1.6571e+17,201.47,289.43,532.1,1,0.606,0.606,0,0
2.1897,6.3762e+05,1.839,1165.4,0.7367,0,4.4112e+05,1.31e+05,1.6409e+17,201.42,289.4,532.21,1,0.612,0.612,0,0
2.1881,6.3718e+05,1.8397,1164.8,2.0118,0,4.4089e+05,1.3086e+05,1.6247e+17,201.37,289.36,532.33,1,0.618,0.618,0,0
2.1864,6.3675e+05,1.8403,1164.1,3.2869,0,4.4065e+05,1.3073e+05,1.6085e+17,201.32,289.33,532.45,1,0.624,0.624,0,0
