"Density","Energy","Mach","Pressure","Pressure_Coefficient","Temperature","rp","Points:0","Points:1","Points:2"
7.7591,1.9547e+06,0.25027,7.6842e+05,8.5509e+18,333.45,0.95642,-1.6923,0,0
7.7547,1.9538e+06,0.25237,7.6783e+05,8.5432e+18,333.38,0.95569,-1.68,0,0
7.7504,1.9529e+06,0.25448,7.6724e+05,8.5356e+18,333.31,0.95495,-1.6677,0,0
7.7458,1.9519e+06,0.25668,7.6661e+05,8.5274e+18,333.24,0.95417,-1.6554,0,0
7.7409,1.9508e+06,0.25898,7.6594e+05,8.5187e+18,333.16,0.95333,-1.6431,0,0
7.736,1.9497e+06,0.26127,7.6527e+05,8.51e+18,333.07,0.9525,-1.6308,0,0
7.7311,1.9487e+06,0.26357,7.646e+05,8.5012e+18,332.99,0.95166,-1.6185,0,0
7.7259,1.9475e+06,0.26599,7.6388e+05,8.492e+18,332.91,0.95078,-1.6062,0,0
7.7206,1.9464e+06,0.26845,7.6316e+05,8.4826e+18,332.82,0.94988,-1.5938,0,0
7.7153,1.9453e+06,0.27091,7.6243e+05,8.4732e+18,332.73,0.94897,-1.5815,0,0
7.7101,1.9441e+06,0.27337,7.6171e+05,8.4637e+18,332.64,0.94807,-1.5692,0,0
7.7043,1.9429e+06,0.27599,7.6091e+05,8.4534e+18,332.54,0.94708,-1.5569,0,0
7.6985,1.9416e+06,0.27861,7.6012e+05,8.4431e+18,332.45,0.94609,-1.5446,0,0
7.6926,1.9403e+06,0.28123,7.5932e+05,8.4327e+18,332.35,0.9451,-1.5323,0,0
7.6867,1.9391e+06,0.2839,7.5851e+05,8.4222e+18,332.25,0.94409,-1.52,0,0
7.6806,1.9377e+06,0.28669,7.5766e+05,8.4111e+18,332.14,0.94303,-1.5077,0,0
7.6744,1.9364e+06,0.28948,7.5681e+05,8.4001e+18,332.04,0.94197,-1.4954,0,0
7.6682,1.9351e+06,0.29227,7.5595e+05,8.389e+18,331.93,0.94091,-1.4831,0,0
7.662,1.9338e+06,0.29505,7.5511e+05,8.378e+18,331.82,0.93986,-1.4708,0,0
7.6559,1.9325e+06,0.29781,7.5428e+05,8.3672e+18,331.72,0.93882,-1.4585,0,0
7.6498,1.9313e+06,0.30058,7.5344e+05,8.3564e+18,331.62,0.93778,-1.4462,0,0
7.6436,1.93e+06,0.30335,7.5261e+05,8.3455e+18,331.52,0.93674,-1.4338,0,0
7.6353,1.9282e+06,0.30678,7.5145e+05,8.3306e+18,331.37,0.93531,-1.4215,0,0
7.6262,1.9261e+06,0.31043,7.502e+05,8.3142e+18,331.21,0.93374,-1.4092,0,0
7.6172,1.9241e+06,0.31408,7.4894e+05,8.2979e+18,331.05,0.93217,-1.3969,0,0
7.6081,1.922e+06,0.31773,7.4768e+05,8.2815e+18,330.89,0.93061,-1.3846,0,0
7.602,1.9208e+06,0.32066,7.4683e+05,8.2705e+18,330.78,0.92955,-1.3723,0,0
7.5959,1.9196e+06,0.32359,7.4598e+05,8.2595e+18,330.67,0.9285,-1.36,0,0
7.5898,1.9184e+06,0.32652,7.4513e+05,8.2485e+18,330.56,0.92744,-1.3477,0,0
7.5831,1.9171e+06,0.32956,7.442e+05,8.2364e+18,330.44,0.92628,-1.3354,0,0
7.5745,1.9152e+06,0.33295,7.4302e+05,8.2211e+18,330.29,0.92482,-1.3231,0,0
7.566,1.9134e+06,0.33634,7.4185e+05,8.2058e+18,330.14,0.92335,-1.3108,0,0
7.5574,1.9115e+06,0.33973,7.4067e+05,8.1905e+18,329.99,0.92188,-1.2985,0,0
7.5488,1.9097e+06,0.34317,7.3948e+05,8.1751e+18,329.83,0.92041,-1.2862,0,0
7.5401,1.9078e+06,0.34664,7.3829e+05,8.1596e+18,329.68,0.91892,-1.2738,0,0
7.5314,1.906e+06,0.35011,7.3709e+05,8.1441e+18,329.53,0.91743,-1.2615,0,0
7.5227,1.9042e+06,0.35359,7.359e+05,8.1286e+18,329.37,0.91595,-1.2492,0,0
7.5136,1.9022e+06,0.35713,7.3465e+05,8.1123e+18,329.21,0.91439,-1.2369,0,0
7.5043,1.9002e+06,0.3607,7.3337e+05,8.0957e+18,329.05,0.9128,-1.2246,0,0
7.495,1.8982e+06,0.36426,7.3209e+05,8.0792e+18,328.88,0.91121,-1.2123,0,0
7.4857,1.8963e+06,0.36783,7.3082e+05,8.0626e+18,328.72,0.90962,-1.2,0,0
7.4759,1.8941e+06,0.3713,7.2947e+05,8.0451e+18,328.54,0.90795,-1.1877,0,0
7.466,1.8919e+06,0.37477,7.2812e+05,8.0276e+18,328.37,0.90627,-1.1754,0,0
7.4561,1.8897e+06,0.37824,7.2678e+05,8.0101e+18,328.19,0.90459,-1.1631,0,0
7.4462,1.8876e+06,0.38181,7.2542e+05,7.9925e+18,328.02,0.90291,-1.1508,0,0
7.4364,1.8856e+06,0.38571,7.2406e+05,7.9748e+18,327.84,0.90121,-1.1385,0,0
7.4265,1.8836e+06,0.38961,7.227e+05,7.9572e+18,327.66,0.89952,-1.1262,0,0
7.4166,1.8815e+06,0.3935,7.2134e+05,7.9395e+18,327.48,0.89782,-1.1138,0,0
7.4047,1.879e+06,0.3977,7.1973e+05,7.9185e+18,327.27,0.89582,-1.1015,0,0
7.3909,1.876e+06,0.40221,7.1786e+05,7.8943e+18,327.03,0.8935,-1.0892,0,0
7.377,1.8729e+06,0.40671,7.16e+05,7.8701e+18,326.79,0.89118,-1.0769,0,0
7.3632,1.8699e+06,0.41122,7.1414e+05,7.8459e+18,326.56,0.88886,-1.0646,0,0
7.3498,1.8669e+06,0.41548,7.1234e+05,7.8226e+18,326.33,0.88662,-1.0523,0,0
7.3366,1.864e+06,0.41967,7.1056e+05,7.7994e+18,326.1,0.8844,-1.04,0,0
7.3233,1.8611e+06,0.42385,7.0878e+05,7.7763e+18,325.87,0.88219,-1.0277,0,0
7.3101,1.8582e+06,0.42803,7.07e+05,7.7532e+18,325.64,0.87998,-1.0154,0,0
7.2988,1.8558e+06,0.432,7.0547e+05,7.7333e+18,325.44,0.87807,-1.0031,0,0
7.2876,1.8535e+06,0.43597,7.0393e+05,7.7134e+18,325.23,0.87616,-0.99077,0,0
7.2763,1.8512e+06,0.43993,7.024e+05,7.6935e+18,325.02,0.87425,-0.97846,0,0
7.2641,1.8486e+06,0.44407,7.0074e+05,7.672e+18,324.8,0.87219,-0.96615,0,0
7.2491,1.8453e+06,0.44871,6.9873e+05,7.6458e+18,324.54,0.86968,-0.95385,0,0
7.234,1.842e+06,0.45335,6.9671e+05,7.6196e+18,324.27,0.86717,-0.94154,0,0
7.219,1.8387e+06,0.45799,6.9469e+05,7.5934e+18,324.01,0.86465,-0.92923,0,0
7.2037,1.8354e+06,0.46285,6.9263e+05,7.5666e+18,323.73,0.86209,-0.91692,0,0
7.1882,1.8322e+06,0.46793,6.9052e+05,7.5392e+18,323.44,0.85946,-0.90462,0,0
7.1728,1.8289e+06,0.473,6.8841e+05,7.5118e+18,323.15,0.85684,-0.89231,0,0
7.1573,1.8256e+06,0.47808,6.863e+05,7.4845e+18,322.86,0.85422,-0.88,0,0
7.1405,1.8219e+06,0.48308,6.8406e+05,7.4553e+18,322.56,0.85142,-0.86769,0,0
7.1233,1.8181e+06,0.48806,6.8177e+05,7.4256e+18,322.25,0.84857,-0.85538,0,0
7.1062,1.8143e+06,0.49304,6.7948e+05,7.3959e+18,321.95,0.84572,-0.84308,0,0
7.089,1.8106e+06,0.49802,6.7719e+05,7.3661e+18,321.64,0.84287,-0.83077,0,0
7.0716,1.8068e+06,0.50311,6.7487e+05,7.336e+18,321.33,0.83999,-0.81846,0,0
7.0542,1.803e+06,0.5082,6.7256e+05,7.306e+18,321.01,0.83711,-0.80615,0,0
7.0367,1.7992e+06,0.51328,6.7024e+05,7.2759e+18,320.7,0.83423,-0.79385,0,0
7.0187,1.7953e+06,0.51851,6.6785e+05,7.2448e+18,320.38,0.83124,-0.78154,0,0
6.9989,1.791e+06,0.52415,6.6521e+05,7.2106e+18,320.01,0.82797,-0.76923,0,0
6.9791,1.7867e+06,0.5298,6.6258e+05,7.1764e+18,319.65,0.82469,-0.75692,0,0
6.9593,1.7823e+06,0.53544,6.5995e+05,7.1422e+18,319.29,0.82141,-0.74462,0,0
6.9386,1.7778e+06,0.54128,6.572e+05,7.1065e+18,318.91,0.818,-0.73231,0,0
6.917,1.7731e+06,0.54731,6.5434e+05,7.0694e+18,318.51,0.81443,-0.72,0,0
6.8953,1.7683e+06,0.55334,6.5148e+05,7.0322e+18,318.11,0.81087,-0.70769,0,0
6.8737,1.7636e+06,0.55937,6.4862e+05,6.995e+18,317.72,0.80731,-0.69538,0,0
6.8504,1.7585e+06,0.56576,6.4554e+05,6.9551e+18,317.28,0.80348,-0.68308,0,0
6.8265,1.7533e+06,0.57226,6.4239e+05,6.9142e+18,316.84,0.79956,-0.67077,0,0
