"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
0, 0.000000000000000e+00, 0.000000000000000e+00, 4.130722481498109e+00, 1.722525891945033e+03, 4.576692191034329e-04, 1.109137461463369e+06, 2.999951061156058e+05, 2.529988208290361e+02, 1.307770831570237e+00, 2.857081963005771e+05, -5.684341886080801e-14, -8.731149137020111e-11, -1.455191522836685e-11, -4.470348358154297e-08
1, 6.500000000000000e+01, 0.000000000000000e+00, 2.354114078993522e+00, 1.102816370734215e+03, -4.477196946709209e-02, 6.362274285433147e+05, 1.511651419329799e+05, 2.236940831055214e+02, 1.562426536447242e+00, 1.439653732695047e+05, 5.115907697472721e-12, 2.255546860396862e-09, 1.706212060526013e-09, 1.825392246246338e-06
2, 6.500000000000000e+01, 6.500000000000000e+00, 2.097625708655494e+00, 8.084008561635181e+02, -7.534511403525875e-01, 5.303148158680802e+05, 1.498161911797117e+05, 2.488061435849407e+02, 1.218763841974199e+00, 1.426806582663922e+05, 1.421085471520200e-14, -0.000000000000000e+00, 1.399769189447397e-12, 2.980232238769531e-08
3, 0.000000000000000e+00, 6.500000000000000e+00, 1.934852047391009e+00, 3.806638161439905e+02, 3.964502640360839e+00, 4.181633375397485e+05, 1.522853102230058e+05, 2.741830456427082e+02, 5.927181745340592e-01, 1.450322002123865e+05, 2.131628207280301e-14, -0.000000000000000e+00, -7.275957614183426e-12, 7.450580596923828e-09
4, 0.000000000000000e+00, 3.250000000000000e+00, 2.653972229030703e+00, 1.110345510362095e+03, 7.202219834195598e+01, 6.961531841361286e+05, 1.851630593104801e+05, 2.430459109776868e+02, 1.341468491420290e+00, 1.763443422004574e+05, 2.842170943040401e-14, 5.820766091346741e-11, 7.017640923464327e-12, 2.980232238769531e-08
5, 2.995391705069835e-01, 0.000000000000000e+00, 4.129836697063420e+00, 1.722416108301740e+03, -2.537950926972544e-03, 1.108943573640717e+06, 2.999050536331322e+05, 2.529771236270585e+02, 1.308024049516813e+00, 2.856224320315546e+05, -8.526512829121202e-14, 4.365574568510056e-11, -1.455191522836685e-11, -0.000000000000000e+00
6, 5.990783410139643e-01, 0.000000000000000e+00, 4.124923664002717e+00, 1.721741139385691e+03, 1.476360619361775e-02, 1.107841533115767e+06, 2.994058297100834e+05, 2.528568257040893e+02, 1.309380155964989e+00, 2.851469806762700e+05, -2.273736754432321e-13, -1.164153218269348e-10, -5.820766091346741e-11, -6.705522537231445e-08
7, 8.986175115209387e-01, 0.000000000000000e+00, 4.109237484563951e+00, 1.719481883319389e+03, 1.030380781758218e-01, 1.104289174563359e+06, 2.978146191420110e+05, 2.524731024617004e+02, 1.313650878167988e+00, 2.836315420400106e+05, -0.000000000000000e+00, 1.455191522836685e-11, -0.000000000000000e+00, -7.450580596923828e-09
8, 1.198156682027898e+00, 0.000000000000000e+00, 4.064274223143379e+00, 1.712315840682748e+03, 3.049747741547578e-01, 1.093883562885535e+06, 2.932705608451713e+05, 2.513713700638062e+02, 1.325543935622293e+00, 2.793038674715918e+05, -0.000000000000000e+00, 2.910383045673370e-11, -2.910383045673370e-11, -7.450580596923828e-09
9, 1.497695852534847e+00, 0.000000000000000e+00, 3.970257116325969e+00, 1.695520330733266e+03, 1.099877056535745e+00, 1.071656037216459e+06, 2.838460809600956e+05, 2.490546271184569e+02, 1.349858692817460e+00, 2.703281723429483e+05, -8.526512829121202e-14, -0.000000000000000e+00, -2.910383045673370e-11, -1.490116119384766e-08
10, 1.797235023041795e+00, 0.000000000000000e+00, 3.837109133609625e+00, 1.669983404215276e+03, 2.952984803954229e+00, 1.040104801178709e+06, 2.706797119251668e+05, 2.457434208269558e+02, 1.384901507176480e+00, 2.577887732620637e+05, -2.842170943040401e-14, -1.455191522836685e-11, -2.910383045673370e-11, -1.490116119384766e-08
11, 2.096774193548733e+00, 0.000000000000000e+00, 3.618550525703085e+00, 1.621856388740337e+03, 3.892977822839185e+00, 9.872035146511204e+05, 2.494953855581291e+05, 2.401918249985216e+02, 1.442617013673940e+00, 2.376132243410755e+05, -1.421085471520200e-13, -5.820766091346741e-11, -4.365574568510056e-11, -4.470348358154297e-08
12, 2.396313364055631e+00, 0.000000000000000e+00, 3.387006458490325e+00, 1.563875840985562e+03, 4.432667826634177e+00, 9.300244246455956e+05, 2.275915454151419e+05, 2.340833075679880e+02, 1.505406970203356e+00, 2.167524242048971e+05, -9.947598300641403e-14, -6.548361852765083e-11, -4.365574568510056e-11, -1.490116119384766e-08
13, 2.695852534562502e+00, 0.000000000000000e+00, 3.185354915682769e+00, 1.508644735763271e+03, 4.705917051066169e+00, 8.797331012207207e+05, 2.089872758690419e+05, 2.285558603395892e+02, 1.562738241076169e+00, 1.990340722562304e+05, -1.136868377216160e-13, -4.365574568510056e-11, -2.182787284255028e-11, -4.470348358154297e-08
14, 2.995391705069349e+00, 0.000000000000000e+00, 2.909967264803528e+00, 1.423654416305005e+03, 8.597294885505082e+00, 8.090749187736842e+05, 1.843249083042156e+05, 2.206613487247051e+02, 1.642904865000059e+00, 1.755461031468720e+05, 9.947598300641403e-14, 2.182787284255028e-11, 3.637978807091713e-11, 4.097819328308105e-08
15, 3.294930875576195e+00, 0.000000000000000e+00, 2.713742436140883e+00, 1.360118569173566e+03, 1.953335368025041e+00, 7.592099994415465e+05, 1.673463493722919e+05, 2.148216075037087e+02, 1.705771152902331e+00, 1.593760470212304e+05, 2.842170943040401e-14, 2.182787284255028e-11, 2.182787284255028e-11, -0.000000000000000e+00
16, 3.594470046083055e+00, 0.000000000000000e+00, 2.584841179040500e+00, 1.316884224435547e+03, 9.589926767436358e+00, 7.263353556313220e+05, 1.563459343792401e+05, 2.107089940989634e+02, 1.750793253995715e+00, 1.488994613135621e+05, 8.526512829121202e-14, 6.548361852765083e-11, 2.182787284255028e-11, 1.862645149230957e-08
17, 3.894009216590004e+00, 0.000000000000000e+00, 2.366918972502596e+00, 1.239977868401743e+03, 8.696981313062096e+00, 6.706871351251835e+05, 1.383489233804375e+05, 2.036210808015971e+02, 1.831390725887424e+00, 1.317594508385119e+05, 1.563194018672220e-13, 5.820766091346741e-11, 3.637978807091713e-11, 4.470348358154297e-08
18, 4.193548387097042e+00, 0.000000000000000e+00, 2.240031293701123e+00, 1.192243446147887e+03, 1.058355279727603e+01, 6.376429928184841e+05, 1.281342875707494e+05, 1.992698611993624e+02, 1.880867986967587e+00, 1.220312262578566e+05, 1.421085471520200e-14, -5.820766091346741e-11, 7.275957614183426e-12, 3.725290298461914e-09
19, 4.493087557604195e+00, 0.000000000000000e+00, 2.062935611499924e+00, 1.123002397606296e+03, 7.168563939163011e+00, 5.913948629262979e+05, 1.142869672196897e+05, 1.929929215394440e+02, 1.954718949489034e+00, 1.088433021139903e+05, 8.526512829121202e-14, 7.275957614183426e-11, 3.637978807091713e-11, 3.352761268615723e-08
20, 4.792626728111425e+00, 0.000000000000000e+00, 1.949106996185378e+00, 1.074832321342701e+03, 1.245842904954525e+01, 5.604492837023152e+05, 1.056208315192269e+05, 1.887748992583679e+02, 2.002226664646487e+00, 1.005898395421209e+05, 1.421085471520200e-13, 7.275957614183426e-11, 1.455191522836685e-11, 4.470348358154297e-08
21, 5.092165898618680e+00, 0.000000000000000e+00, 1.823610430542537e+00, 1.020664190503112e+03, 7.489862122765839e+00, 5.264268115746730e+05, 9.631260564115027e+04, 1.839845734026652e+02, 2.058367675667402e+00, 9.172486251538125e+04, -5.684341886080801e-14, -8.731149137020111e-11, -2.546585164964199e-11, -4.842877388000488e-08
22, 5.391705069125937e+00, 0.000000000000000e+00, 1.719183205580340e+00, 9.747075851668699e+02, 5.626429466320453e+00, 4.981651736701377e+05, 8.873840374790833e+04, 1.798124661955588e+02, 2.109117024407416e+00, 8.451133690276988e+04, -1.421085471520200e-14, -6.548361852765083e-11, -2.910383045673370e-11, 1.117587089538574e-08
23, 5.691244239633192e+00, 0.000000000000000e+00, 1.621718759396921e+00, 9.309608107818059e+02, 5.175392722114244e+00, 4.717901669057469e+05, 8.182764225845238e+04, 1.757740836865142e+02, 2.159913223459413e+00, 7.792965929376421e+04, 7.105427357601002e-14, 5.093170329928398e-11, 7.275957614183426e-12, 1.490116119384766e-08
24, 5.990783410140448e+00, 0.000000000000000e+00, 1.530382964325846e+00, 8.891076428537225e+02, 6.980761246106405e+00, 4.470179216866288e+05, 7.549170450170434e+04, 1.718420535400333e+02, 2.210823306695946e+00, 7.189543285876607e+04, 7.105427357601002e-15, -0.000000000000000e+00, 7.275957614183426e-12, -0.000000000000000e+00
25, 6.290322580647703e+00, 0.000000000000000e+00, 1.471682792376898e+00, 8.614642070787260e+02, 7.854326845190343e+00, 4.309009444073925e+05, 7.149866022812342e+04, 1.692442946678779e+02, 2.244580636547853e+00, 6.809253355059377e+04, 4.263256414560601e-14, 1.455191522836685e-11, -7.275957614183426e-12, 7.450580596923828e-09
26, 6.589861751154960e+00, 0.000000000000000e+00, 1.412510388477598e+00, 8.332724000194357e+02, 7.824498306055360e+00, 4.146485765378042e+05, 6.753744713486987e+04, 1.665648412888079e+02, 2.280205451207255e+00, 6.431994965225705e+04, 2.842170943040401e-14, -4.365574568510056e-11, -1.091393642127514e-11, -2.235174179077148e-08
27, 6.889400921662214e+00, 0.000000000000000e+00, 1.359492144269612e+00, 8.076914230668756e+02, 7.357793130108890e+00, 4.000467328911624e+05, 6.403879731586741e+04, 1.640955522979728e+02, 2.313606724844121e+00, 6.098790220558803e+04, -0.000000000000000e+00, -3.637978807091713e-11, -0.000000000000000e+00, -3.725290298461914e-09
28, 7.188940092169471e+00, 0.000000000000000e+00, 1.314713041347324e+00, 7.858382284288753e+02, 6.623107965125985e+00, 3.876768853570696e+05, 6.112088563213807e+04, 1.619530058085002e+02, 2.343010600043306e+00, 5.820893869727438e+04, 8.526512829121202e-14, 8.731149137020111e-11, 7.275957614183426e-12, 2.607703208923340e-08
29, 7.488479262676726e+00, 0.000000000000000e+00, 1.278949258460262e+00, 7.682199541317170e+02, 5.709740194478437e+00, 3.777708990930364e+05, 5.881470605321448e+04, 1.602001659682388e+02, 2.367357998829018e+00, 5.601257719353763e+04, 2.842170943040401e-14, 4.365574568510056e-11, 1.091393642127514e-11, 3.352761268615723e-08
